"","item","itemLabel","birthdate","deathdate"
"273","http://www.wikidata.org/entity/Q475526","Charles Monselet","1825","1888"
"274","http://www.wikidata.org/entity/Q482188","Amédée Pigeon","1851","1905"
"275","http://www.wikidata.org/entity/Q487523","Anatole Le Braz","1859","1926"
"277","http://www.wikidata.org/entity/Q504494","Albert Caraco","1919","1971"
"278","http://www.wikidata.org/entity/Q505555","Pierre-Claude-Victor Boiste","1765","1824"
"279","http://www.wikidata.org/entity/Q506373","George Auriol","1863","1938"
"282","http://www.wikidata.org/entity/Q507746","Alexandre Arnoux","1884","1973"
"284","http://www.wikidata.org/entity/Q510114","Francis Carco","1886","1958"
"286","http://www.wikidata.org/entity/Q515589","Jean-Baptiste Clément","1836","1903"
"287","http://www.wikidata.org/entity/Q517162","Agnes Mary Frances Duclaux","1857","1944"
"289","http://www.wikidata.org/entity/Q518672","André Frénaud","1907","1993"
"290","http://www.wikidata.org/entity/Q518827","André Gill","1840","1885"
"291","http://www.wikidata.org/entity/Q520748","André Lemoyne","1822","1907"
"293","http://www.wikidata.org/entity/Q522679","André Salmon","1881","1969"
"294","http://www.wikidata.org/entity/Q522970","André Suarès","1868","1948"
"295","http://www.wikidata.org/entity/Q523039","André Theuriet","1833","1907"
"300","http://www.wikidata.org/entity/Q524348","Anne Bignan","1795","1861"
"301","http://www.wikidata.org/entity/Q527024","Yvan Goll","1891","1950"
"302","http://www.wikidata.org/entity/Q528804","Severo Sarduy","1937","1993"
"303","http://www.wikidata.org/entity/Q530375","Petrus Borel","1809","1859"
"304","http://www.wikidata.org/entity/Q530816","Ange-François Fariau","1747","1810"
"308","http://www.wikidata.org/entity/Q535188","Aristide Bruant","1851","1925"
"310","http://www.wikidata.org/entity/Q535740","Placide Cappeau","1808","1877"
"311","http://www.wikidata.org/entity/Q537093","René Maran","1887","1960"
"312","http://www.wikidata.org/entity/Q537788","Ponce Denis Écouchard Lebrun","1729","1807"
"313","http://www.wikidata.org/entity/Q539301","François-Benoît Hoffman","1760","1828"
"314","http://www.wikidata.org/entity/Q544902","Oscar Milosz","1877","1939"
"318","http://www.wikidata.org/entity/Q545423","Jacques Audiberti","1899","1965"
"320","http://www.wikidata.org/entity/Q545544","Richard Le Gallienne","1866","1947"
"321","http://www.wikidata.org/entity/Q546952","Pierre Mac Orlan","1882","1970"
"323","http://www.wikidata.org/entity/Q546959","Charles-Julien Lioult de Chênedollé","1769","1833"
"324","http://www.wikidata.org/entity/Q548181","Jules Barbier","1822","1901"
"326","http://www.wikidata.org/entity/Q548610","François-Thomas-Marie de Baculard d'Arnaud","1718","1805"
"328","http://www.wikidata.org/entity/Q548860","Michel Seuphor","1901","1999"
"330","http://www.wikidata.org/entity/Q549230","Malcolm de Chazal","1902","1981"
"331","http://www.wikidata.org/entity/Q551574","Maurice de Guérin","1810","1839"
"334","http://www.wikidata.org/entity/Q551735","Edgar Quinet","1803","1875"
"337","http://www.wikidata.org/entity/Q551744","Jean Richepin","1849","1926"
"338","http://www.wikidata.org/entity/Q551749","Francis Ponge","1899","1988"
"339","http://www.wikidata.org/entity/Q551757","Léo Malet","1909","1996"
"345","http://www.wikidata.org/entity/Q333106","Hilaire Belloc","1870","1953"
"346","http://www.wikidata.org/entity/Q333615","Raymond Radiguet","1903","1923"
"349","http://www.wikidata.org/entity/Q334958","Pierre Louÿs","1870","1925"
"351","http://www.wikidata.org/entity/Q334965","Charles Péguy","1873","1914"
"352","http://www.wikidata.org/entity/Q334970","José-Maria de Heredia","1842","1905"
"353","http://www.wikidata.org/entity/Q334983","Jules Romains","1885","1972"
"354","http://www.wikidata.org/entity/Q336010","Charles Nodier","1780","1844"
"355","http://www.wikidata.org/entity/Q336467","Philippe Soupault","1897","1990"
"356","http://www.wikidata.org/entity/Q338922","Félicien Champsaur","1858","1934"
"357","http://www.wikidata.org/entity/Q340235","Achille Millien","1838","1927"
"360","http://www.wikidata.org/entity/Q346091","Léon Halévy","1802","1883"
"369","http://www.wikidata.org/entity/Q352287","Clovis Hugues","1851","1907"
"370","http://www.wikidata.org/entity/Q353857","Jean Moréas","1856","1910"
"371","http://www.wikidata.org/entity/Q353873","Francis Jammes","1868","1938"
"372","http://www.wikidata.org/entity/Q353876","Remy de Gourmont","1858","1915"
"374","http://www.wikidata.org/entity/Q354373","Népomucène Lemercier","1771","1840"
"376","http://www.wikidata.org/entity/Q356575","Charles Cros","1842","1888"
"377","http://www.wikidata.org/entity/Q358479","Hervé Bazin","1911","1996"
"380","http://www.wikidata.org/entity/Q360481","Vincent-Marie Viénot, Count of Vaublanc","1756","1845"
"384","http://www.wikidata.org/entity/Q365837","Adolphe Stoeber","1810","1892"
"385","http://www.wikidata.org/entity/Q366285","Auguste Villiers de l'Isle-Adam","1838","1889"
"386","http://www.wikidata.org/entity/Q366464","Aloysius Bertrand","1807","1841"
"393","http://www.wikidata.org/entity/Q371905","Alphonse Allais","1854","1905"
"394","http://www.wikidata.org/entity/Q373897","Régis de Trobriand","1816","1897"
"396","http://www.wikidata.org/entity/Q374622","Pierre-Louis Moline","1740","1820"
"398","http://www.wikidata.org/entity/Q376359","Paul Giéra","1816","1861"
"401","http://www.wikidata.org/entity/Q379022","Jean-François de La Harpe","1739","1803"
"403","http://www.wikidata.org/entity/Q379931","Pierre Reverdy","1889","1960"
"405","http://www.wikidata.org/entity/Q379943","Pierre Jean Jouve","1887","1976"
"410","http://www.wikidata.org/entity/Q380275","Jules Laforgue","1860","1887"
"411","http://www.wikidata.org/entity/Q380277","François Coppée","1842","1908"
"414","http://www.wikidata.org/entity/Q386390","Olivier Souêtre","1831","1896"
"416","http://www.wikidata.org/entity/Q388828","Nathan Katz","1892","1981"
"417","http://www.wikidata.org/entity/Q428451","Robert de Bonnières","1850","1905"
"420","http://www.wikidata.org/entity/Q430765","Roger Caillois","1913","1978"
"426","http://www.wikidata.org/entity/Q437094","Delphine de Girardin","1804","1855"
"427","http://www.wikidata.org/entity/Q438116","Auguste Lacaussade","1815","1897"
"428","http://www.wikidata.org/entity/Q438367","Eugène Manuel","1823","1901"
"429","http://www.wikidata.org/entity/Q440779","Rosemonde Gérard","1866","1954"
"430","http://www.wikidata.org/entity/Q442928","Louise Colet","1810","1876"
"431","http://www.wikidata.org/entity/Q445123","Louise Bertin","1805","1877"
"432","http://www.wikidata.org/entity/Q446559","Fanny de Beauharnais","1737","1813"
"433","http://www.wikidata.org/entity/Q447103","Franc-Nohain","1872","1934"
"437","http://www.wikidata.org/entity/Q452272","Charlotte Delbo","1913","1985"
"439","http://www.wikidata.org/entity/Q732569","Jules Supervielle","1884","1960"
"440","http://www.wikidata.org/entity/Q732618","Charles-Louis Philippe","1874","1909"
"442","http://www.wikidata.org/entity/Q732725","Charles Vildrac","1882","1971"
"443","http://www.wikidata.org/entity/Q733125","Eugène Guillevic","1907","1997"
"445","http://www.wikidata.org/entity/Q733257","Henry Bataille","1872","1922"
"448","http://www.wikidata.org/entity/Q735033","François Dufrene","1930","1982"
"450","http://www.wikidata.org/entity/Q736424","Marie-Joseph Chénier","1764","1811"
"451","http://www.wikidata.org/entity/Q738494","Henri Auguste Barbier","1805","1882"
"452","http://www.wikidata.org/entity/Q739325","Francis Blanche","1921","1974"
"456","http://www.wikidata.org/entity/Q744469","Eugène Vermersch","1845","1878"
"459","http://www.wikidata.org/entity/Q745528","Claude Aveline","1901","1992"
"461","http://www.wikidata.org/entity/Q746066","Pierre Adolphe Piorry","1794","1879"
"463","http://www.wikidata.org/entity/Q747356","Raphaël Tardon","1911","1967"
"465","http://www.wikidata.org/entity/Q761411","Jean Dauby","1919","1997"
"466","http://www.wikidata.org/entity/Q761705","Louis Bouilhet","1821","1869"
"467","http://www.wikidata.org/entity/Q763907","Jacques-Joseph Deglimes","1778","1828"
"468","http://www.wikidata.org/entity/Q765905","Alcide Dusolier","1836","1918"
"469","http://www.wikidata.org/entity/Q766010","Auguste-Marseille Barthélemy","1796","1867"
"470","http://www.wikidata.org/entity/Q767233","Auguste de Châtillon","1808","1881"
"471","http://www.wikidata.org/entity/Q768205","Augustine-Malvina Blanchecotte","1830","1897"
"475","http://www.wikidata.org/entity/Q774507","Joseph Roumanille","1818","1891"
"476","http://www.wikidata.org/entity/Q776803","Charles Gille","1820","1856"
"479","http://www.wikidata.org/entity/Q787167","Erwan Berthou","1861","1933"
"480","http://www.wikidata.org/entity/Q809732","Roger Vitrac","1899","1952"
"481","http://www.wikidata.org/entity/Q817484","Benjamin Fondane","1898","1944"
"484","http://www.wikidata.org/entity/Q822562","Bernard Lazare","1865","1903"
"486","http://www.wikidata.org/entity/Q835566","Pierre-Antoine Lebrun","1785","1873"
"489","http://www.wikidata.org/entity/Q867852","Claude Roy","1915","1997"
"490","http://www.wikidata.org/entity/Q893693","Boris Kochno","1904","1990"
"492","http://www.wikidata.org/entity/Q907401","Louis Cattiaux","1904","1953"
"494","http://www.wikidata.org/entity/Q593350","Pierre Unik","1909","1945"
"495","http://www.wikidata.org/entity/Q599801","Léon-Paul Fargue","1876","1947"
"497","http://www.wikidata.org/entity/Q602468","Louis Pergaud","1882","1915"
"498","http://www.wikidata.org/entity/Q603987","Auguste Hilarion, comte de Kératry","1769","1859"
"500","http://www.wikidata.org/entity/Q607299","Lise Deharme","1898","1980"
"501","http://www.wikidata.org/entity/Q607998","Antony Deschamps","1800","1869"
"502","http://www.wikidata.org/entity/Q608177","Antony Valabrègue","1844","1900"
"503","http://www.wikidata.org/entity/Q611066","Germain Nouveau","1851","1920"
"504","http://www.wikidata.org/entity/Q614591","Paul Mariéton","1862","1911"
"505","http://www.wikidata.org/entity/Q617539","François Ponsard","1814","1867"
"507","http://www.wikidata.org/entity/Q630464","Jehan Rictus","1867","1933"
"508","http://www.wikidata.org/entity/Q633054","J. C. Mardrus","1868","1949"
"509","http://www.wikidata.org/entity/Q640133","Jacques Vaché","1895","1919"
