"","item","itemLabel","birthdate","deathdate"
"172","http://www.wikidata.org/entity/Q3142536","Hugues Delorme","1868","1942"
"173","http://www.wikidata.org/entity/Q16969064","Dauphin Meunier","1868","1927"
"176","http://www.wikidata.org/entity/Q56072951","Marius Richard","1868","1924"
"177","http://www.wikidata.org/entity/Q630464","Jehan Rictus","1867","1933"
"178","http://www.wikidata.org/entity/Q18115330","Louis Labat","1867","1947"
"179","http://www.wikidata.org/entity/Q3313017","Miguel Zamacoïs","1866","1955"
"180","http://www.wikidata.org/entity/Q3187854","Juana Richard Lesclide","1866","1951"
"181","http://www.wikidata.org/entity/Q545544","Richard Le Gallienne","1866","1947"
"182","http://www.wikidata.org/entity/Q1872437","Fabius de Champville","1865","1946"
"183","http://www.wikidata.org/entity/Q822562","Bernard Lazare","1865","1903"
"184","http://www.wikidata.org/entity/Q2835351","Alfred Mortier","1865","1937"
"185","http://www.wikidata.org/entity/Q2714600","Albert Aurier","1865","1892"
"186","http://www.wikidata.org/entity/Q15838237","Rodolphe Darzens","1865","1938"
"187","http://www.wikidata.org/entity/Q1892522","Marc-André Raffalovich","1864","1934"
"188","http://www.wikidata.org/entity/Q2825223","Adrien Mithouard","1864","1919"
"189","http://www.wikidata.org/entity/Q3106785","Pierre Quillard","1864","1912"
"190","http://www.wikidata.org/entity/Q3131619","Henri Mazel","1864","1947"
"191","http://www.wikidata.org/entity/Q3089566","Frédéric Amouretti","1863","1903"
"192","http://www.wikidata.org/entity/Q18115620","Mathias Morhardt","1863","1939"
"193","http://www.wikidata.org/entity/Q3188438","Jean Stanislas Jules Boissière","1863","1897"
"194","http://www.wikidata.org/entity/Q3384760","Pierre Dévoluy","1862","1932"
"195","http://www.wikidata.org/entity/Q3262461","Louis Le Cardonnel","1862","1936"
"196","http://www.wikidata.org/entity/Q268322","Han Ryner","1861","1938"
"197","http://www.wikidata.org/entity/Q3386688","Pierre Pronost","1861","1909"
"198","http://www.wikidata.org/entity/Q3130643","Henri Beauclair","1860","1919"
"199","http://www.wikidata.org/entity/Q2959857","Charles Morice","1860","1919"
"200","http://www.wikidata.org/entity/Q51107","Georges Courteline","1858","1929"
"201","http://www.wikidata.org/entity/Q338922","Félicien Champsaur","1858","1934"
"202","http://www.wikidata.org/entity/Q1852937","Paul Hervieu","1857","1915"
"203","http://www.wikidata.org/entity/Q1285628","Edmond Haraucourt","1856","1941"
"204","http://www.wikidata.org/entity/Q17428165","Amédée Louis Hettich","1856","1937"
"205","http://www.wikidata.org/entity/Q15267415","Félix Jeantet","1855","1932"
"207","http://www.wikidata.org/entity/Q127984","Jean Lorrain","1855","1906"
"208","http://www.wikidata.org/entity/Q3371324","Paul Ginisty","1855","1932"
"209","http://www.wikidata.org/entity/Q669685","Robert de Montesquiou","1855","1921"
"210","http://www.wikidata.org/entity/Q17486070","Léon Épinette","1855","1902"
"211","http://www.wikidata.org/entity/Q371905","Alphonse Allais","1854","1905"
"212","http://www.wikidata.org/entity/Q1872062","Louis de Gramont","1854","1912"
"213","http://www.wikidata.org/entity/Q16915076","Jules Auriac","1854","1936"
"214","http://www.wikidata.org/entity/Q18115649","Georges Nardin","1854","1901"
"215","http://www.wikidata.org/entity/Q5217915","Jeanne Lapauze","1854","1921"
"217","http://www.wikidata.org/entity/Q198644","Paul Bourget","1852","1935"
"218","http://www.wikidata.org/entity/Q18011912","Victor Billaud","1852","1936"
"220","http://www.wikidata.org/entity/Q18115106","Georges Gourdon","1852","1915"
"221","http://www.wikidata.org/entity/Q18117921","Sutter-Laumann","1852","1892"
"222","http://www.wikidata.org/entity/Q352287","Clovis Hugues","1851","1907"
"223","http://www.wikidata.org/entity/Q19569578","Henri Second","1851","1914"
"224","http://www.wikidata.org/entity/Q1471610","Frédéric Plessis","1851","1942"
"225","http://www.wikidata.org/entity/Q482188","Amédée Pigeon","1851","1905"
"226","http://www.wikidata.org/entity/Q9327","Guy de Maupassant","1850","1893"
"227","http://www.wikidata.org/entity/Q15838232","Paul Marrot","1850","1909"
"228","http://www.wikidata.org/entity/Q428451","Robert de Bonnières","1850","1905"
"230","http://www.wikidata.org/entity/Q15838235","Robert de La Villehervé","1849","1919"
"231","http://www.wikidata.org/entity/Q3588544","Émile Goudeau","1849","1906"
"232","http://www.wikidata.org/entity/Q2871210","Auguste Fourès","1848","1891"
"233","http://www.wikidata.org/entity/Q2058686","Paul Alexis","1847","1901"
"237","http://www.wikidata.org/entity/Q3102664","Georges Duval","1847","1919"
"238","http://www.wikidata.org/entity/Q3292581","Marie Huot","1846","1930"
"239","http://www.wikidata.org/entity/Q3047902","Edmond Lepelletier","1846","1913"
"240","http://www.wikidata.org/entity/Q744469","Eugène Vermersch","1845","1878"
"241","http://www.wikidata.org/entity/Q3047469","Edgar Monteil","1845","1921"
"242","http://www.wikidata.org/entity/Q2830922","Albèrt Arnavièlha","1844","1927"
"243","http://www.wikidata.org/entity/Q3189037","Julia Daudet","1844","1940"
"244","http://www.wikidata.org/entity/Q3579858","Édouard Frémy","1843","1904"
"245","http://www.wikidata.org/entity/Q2633356","Paul Arène","1843","1896"
"246","http://www.wikidata.org/entity/Q132082","Louis-Xavier de Ricard","1843","1911"
"247","http://www.wikidata.org/entity/Q3140439","Horace Bertin","1842","1917"
"248","http://www.wikidata.org/entity/Q3061162","Eutrope Lambert","1842","1910"
"249","http://www.wikidata.org/entity/Q103884823","Clément Privé","1842","1883"
"250","http://www.wikidata.org/entity/Q17496854","Guy de Binos","1841","1887"
"251","http://www.wikidata.org/entity/Q2959138","Charles Frémine","1841","1906"
"252","http://www.wikidata.org/entity/Q504","Émile Zola","1840","1902"
"253","http://www.wikidata.org/entity/Q4467251","Gilbert Augustin Thierry","1840","1915"
"254","http://www.wikidata.org/entity/Q274936","Émile Blémont","1839","1927"
"255","http://www.wikidata.org/entity/Q1356595","Ernest d'Hervilly","1839","1911"
"256","http://www.wikidata.org/entity/Q2958672","Charles Canivet","1839","1911"
"257","http://www.wikidata.org/entity/Q25410541","Emilio Biemont","1839","1926"
"258","http://www.wikidata.org/entity/Q18197531","Louis Dépret","1837","1901"
"259","http://www.wikidata.org/entity/Q2861362","Aristide Frémine","1837","1897"
"260","http://www.wikidata.org/entity/Q765905","Alcide Dusolier","1836","1918"
"261","http://www.wikidata.org/entity/Q3098968","Gaston Crémieux","1836","1871"
"262","http://www.wikidata.org/entity/Q515589","Jean-Baptiste Clément","1836","1903"
"263","http://www.wikidata.org/entity/Q2427436","Édouard Pailleron","1834","1899"
"264","http://www.wikidata.org/entity/Q18221221","Paulin Cheilan","1834","1907"
"265","http://www.wikidata.org/entity/Q59234676","Félix Jahyer","1834","1907"
"266","http://www.wikidata.org/entity/Q2872062","Aurélien Scholl","1833","1902"
"267","http://www.wikidata.org/entity/Q50656","Zacharie Astruc","1833","1907"
"268","http://www.wikidata.org/entity/Q1639653","Alexandre Piedagnel","1831","1903"
"269","http://www.wikidata.org/entity/Q3292106","Laetitia Marie Wyse Bonaparte","1831","1902"
"273","http://www.wikidata.org/entity/Q216092","Louise Michel","1830","1905"
"274","http://www.wikidata.org/entity/Q3734478","Eugène Chatelain","1829","1902"
"275","http://www.wikidata.org/entity/Q18197793","Amédée Rolland","1829","1868"
"276","http://www.wikidata.org/entity/Q3185416","Joseph Noulens","1828","1898"
"277","http://www.wikidata.org/entity/Q2442116","Étienne Carjat","1828","1906"
"279","http://www.wikidata.org/entity/Q20971324","Charles Bataille","1828","1868"
"282","http://www.wikidata.org/entity/Q1248992","Louis Ratisbonne","1827","1900"
"283","http://www.wikidata.org/entity/Q3348844","Octave Lacroix","1827","1901"
"284","http://www.wikidata.org/entity/Q3570595","Xavier Aubryet","1827","1880"
"285","http://www.wikidata.org/entity/Q3057004","Ernest Hamel","1826","1898"
"286","http://www.wikidata.org/entity/Q26702334","Alphonse Duchesne","1825","1870"
"287","http://www.wikidata.org/entity/Q475526","Charles Monselet","1825","1888"
"288","http://www.wikidata.org/entity/Q3047791","Edmond Cottinet","1824","1895"
"289","http://www.wikidata.org/entity/Q3370532","Paul Avenel","1823","1902"
"290","http://www.wikidata.org/entity/Q312630","Théodore de Banville","1823","1891"
