;lien;nom;naissance;mort;age;prefaces;id_wikidata;idref;memberof_af;reception;subject;ratio_prefaces;bnf;lien_bnf;nb_oeuvres;nb_oeuvres_1940;nb_ouvrages;nb_ouvrages_1940
253;http://www.wikidata.org/entity/Q460180;Georgette Leblanc;1869;1941;72;NA;Q460180;50263595;FALSE;NA;4;NA;13508185v;http://data.bnf.fr/ark:/12148/cb13508185v#about;8;7;10;9
254;http://www.wikidata.org/entity/Q5307942;Rosa Bailly;1890;1976;86;1;Q5307942;26701367;FALSE;NA;4;0.02;121694097;http://data.bnf.fr/ark:/12148/cb121694097#about;30;9;37;14
255;http://www.wikidata.org/entity/Q19356181;Isabelle Rivière;1889;1971;82;7;Q19356181;27102327;FALSE;NA;4;0.137254901960784;119221183;http://data.bnf.fr/ark:/12148/cb119221183#about;12;6;20;6
256;http://www.wikidata.org/entity/Q16222625;Noël Vesper;1882;1944;62;NA;Q16222625;30303818;FALSE;NA;4;NA;12174769x;http://data.bnf.fr/ark:/12148/cb12174769x#about;15;13;19;17
257;http://www.wikidata.org/entity/Q3265452;Lucien Daudet;1878;1946;68;1;Q3265452;29491509;FALSE;NA;4;0.0161290322580645;12110751n;http://data.bnf.fr/ark:/12148/cb12110751n#about;9;9;13;12
258;http://www.wikidata.org/entity/Q445480;Thyde Monnier;1887;1967;80;NA;Q445480;27034976;FALSE;NA;4;NA;11916545v;http://data.bnf.fr/ark:/12148/cb11916545v#about;44;5;63;6
259;http://www.wikidata.org/entity/Q2847020;André-Charles Coppier;1866;1948;82;4;Q2847020;32299079;FALSE;NA;4;0.0540540540540541;12156140m;http://data.bnf.fr/ark:/12148/cb12156140m#about;11;10;12;11
260;http://www.wikidata.org/entity/Q2833861;Alexandre Masseron;1880;1959;79;NA;Q2833861;27015289;FALSE;NA;4;NA;11914988r;http://data.bnf.fr/ark:/12148/cb11914988r#about;29;18;38;22
261;http://www.wikidata.org/entity/Q275504;Geneviève Tabouis;1892;1985;93;NA;Q275504;27153444;FALSE;NA;4;NA;11925893h;http://data.bnf.fr/ark:/12148/cb11925893h#about;15;6;19;7
262;http://www.wikidata.org/entity/Q2401368;Aimé Pallière;1868;1949;81;NA;Q2401368;67698468;FALSE;NA;4;NA;126296461;http://data.bnf.fr/ark:/12148/cb126296461#about;8;6;10;7
263;http://www.wikidata.org/entity/Q3159134;Jacques Hébertot;1886;1970;84;NA;Q3159134;102050279;FALSE;NA;4;NA;129185413;http://data.bnf.fr/ark:/12148/cb129185413#about;7;7;7;7
264;http://www.wikidata.org/entity/Q20046308;Albert Boudon-Lashermes;1882;1967;85;NA;Q20046308;02880404X;FALSE;NA;4;NA;12056460w;http://data.bnf.fr/ark:/12148/cb12056460w#about;13;8;16;8
265;http://www.wikidata.org/entity/Q50379504;René-Albert Gutmann;1885;1981;96;NA;Q50379504;26910861;FALSE;NA;4;NA;119065689;http://data.bnf.fr/ark:/12148/cb119065689#about;40;29;50;33
